번호,내용
23,"찬바람은 여전하지만 새순이 돋아나는 걸 보니 봄이 가까이 왔다. 가끔은 봄기운 품은 보드라운 바람이 뺨을 스치기도 한다. 겨울에서 봄으로 넘어가는 조금은 애매한 시기, 가뿐하게 떠날 수 있는 서울 근교 섬 여행을 준비했다. 강화도가 품은 석모도와 교동도가 주인공이다."
24,"낙엽을 밟으며 지나가는 계절을 만끽하고 싶은 당신을 위해 준비했다. 가을과 함께 호흡하며 걸어서 더욱 좋은 길, '바스락(樂)길'이다."
25,"여름이라고 바다와 계곡을 무대로 축제가 열리라는 법은 없다. 전남 강진에서는 '흙, 불 그리고 사람' 이라는 주제로 축제가 개최된다. 이름 하여 '강진청자축제'. 고려시대에 강진은 왕실에 청자를 납품하던 관요가 있던 고장이다. 최고 품질의 청자가 제작된 것은 어찌 보면 당연한 일이다. 고려청자의 진면목을 경험할 수 있는 강진청자축제는 '대한민국 최우수축제'에 17번 선정됐다. 초·중등 교과서에도 나오는 진정 대한민국 대표 축제라 할만하다. "
26,"복닥거리는 차이나타운 옆, 인천 개항장 근대역사문화타운은 개항 후 130여 년의 역사를 간직하고 있다. 차이나타운에 비해 한가로운 거리 곳곳에 흑백 사진을 닮은 공간이 숨은 듯 자리한다. 세월의 흔적이 켜켜이 쌓인 건물을 재활용해 감각적인 카페나 갤러리로 거듭난 공간을 찾았다. 색 바랜 시간 속을 거닐어보자."
27,"산하가 울긋불긋 꽃 대궐을 이루는 때다. 초록빛 물오른 새싹과 향긋한 봄 내음이 나들이를 부추기는 요즘, 강화도 고려산(436m)으로 발걸음을 옮겨보자. 이맘때 고려산 자락은 온통 진분홍빛으로 물든다. 산등성이마다 진달래 군락이 황홀한 풍경을 보여준다. 지금이 아니면 다시 1년을 기다려야 하는 '한정판' 비경이다."
28,"만족스러운 숙소의 기준을 들자면 말끔한 시설과 편안한 분위기, 훌륭한 경관이 떠오른다. 한두 가지만 착실해도 여행의 즐거움을 더할 테지만 이곳에선 다 기대해도 좋다. 이정태 대표이사는 강화도를 여행하는 이에게 여유를 선물하겠다는 생각으로 ‘라르고빌’을 지었다. 음악에서 ‘매우 느리게’를 의미하는 이름처럼 입구부터 아늑한 바다, 광장을 부드럽게 감싼 건물이 발걸음을 차분하게 한다. 바다가 예쁜 자리에 놓인 의자들을 그냥 지나치기도 어려워 앉아 감상하다 보니 로비로 가는 길은 이미 여행이다. 외관이 이러할진대 객실은 얼마나 근사할까. 문을 열자 시야에 들어오는 것 모두 기대한 그대로다. 군더더기 없이 깔끔한 인테리어, 테라스마다 칸을 나눈 프라이빗한 공간이 조화롭게 어우러진다. 테라스가 없는 방엔 통창을 내 어떤 객실에서도 바다를 만끽한다. 네 동으로 이루어진 대단지라 객실이 많을 것 같지만 총 55개. 하나같이 널찍하고 여유로워 절로 두런두런 이야기를 나누게 된다. 바다에 면한 카페, 레스토랑, BBQ 가든과 최대 250명을 수용하는 연회 시설은 이 숙소를 선택하는 이유의 폭을 넓혀 준다."
29,"가을, 호젓한 섬길 한번 걸어보자. 통통배만 오갈 뿐 차도 다니지 않는 섬 해변길 말이다. 무의도는 드라마 촬영지와 하나개해변, 호룡곡산 등으로 명성을 떨친 지 오래지만 동생 섬인 소무의도가 입소문이 난 것은 최근의 일이다. 무의도 샘꾸미포구에서 소무의도까지 구름다리가 놓이고 무의바다누리길이 조성되면서 찾는 이의 발길이 늘고 있다."
30,"외국에서는 야경도 관광 명물 중 하나로 적극 홍보한다. 일본의 경우 2012년 ‘일반사단법인 야경관광컨벤션뷰로’가 전국의 야경감상사 3,500여 명으로부터 ‘세계 신3대 야경’을 추천받아 모나코, 홍콩과 함께 나가사키가 선정되었다고 발표했다. 이후 나가사키 시는 자신들의 관광자원을 자랑할 때 야경을 절대 빼놓지 않는다."
31,"남해군 상주면에 위치한 두모마을은 유채꽃 풍경이 남해에서 으뜸으로 손꼽히는 마을이며 2008년 환경부장관지정 자연생태우수마을로 선정된 곳이다. 봄이면 마을 입구부터 2km 정도 이어진 길을 거닐며 남해의 잔잔한 바다와 아름다운 유채꽃을 함께 즐길 수 있으며 가을이면 메밀을 재배하여 그 경치를 볼수 있다. 매년 4월에 유채꽃 축제를 개최하며 유채꽃을 배경으로 개매기 체험과 맨손 고기잡기, 조개잡이, 카약 체험도 함께 즐길 수 있다. 두모마을의 다랑이논 약 2만평에서는 봄에는 유채, 가을에는 메밀을 재배하여 계절마다 색다른 모습을 만날 수 있다."
32,"    1996년 김포에 문을 연            덕포진교육박물관        은 김동선·이인숙 관장이 운영하는 사립 박물관이다. 두 관장은 과거 교직을 천직으로 여기고 많은 학생을 가르쳤다. 지금도 박물관에서는 어김없이 선생님이다. 덕포진교육박물관은 두 관장의 아름다운 사랑 덕분에 탄생했다. 아내가 1990년에 교통사고로 시력을 잃자, 남편이 ‘다시 학생들을 만나게 해주겠다’는 다짐으로 절망을 희망으로 돌려놓았다. 김동선 관장이 그간 모은 교육 자료와 퇴직금으로 박물관을 설립한 것이다."
33,"뜨끈한 온천이 몸을 녹이고, 붉은 석양이 마음을 녹인다. 여기에 강화 특산물 속노랑고구마가 더해지면 겨울철 이보다 좋은 컬래버가 없다. 강화도 외포항에서 서쪽으로 약 1.5km 떨어진 석모도. 2017년 1월 개장한 석모도미네랄온천은 노천탕, 노을, 속노랑고구마의 삼박자를 완성할 최적의 장소다. 지하 460m 화강암에서 용출하는 미네랄 온천수에 몸을 담그면, 쌓인 피로와 스트레스가 저절로 풀린다."
34,"    인천 옹진군 북도면에 있는            신시모도는 예술을 품은 섬이다. 섬 한쪽에 예술 작품이 가득한 배미꾸미조각공원이 있다. 바닷가 공원에 느낌표와 물음표가 번갈아 떠오르는 중견 조각가 이일호 선생의 초현실주의 작품 80여 점이 개성을 뽐내며 전시된다. 출렁이는 파도 소리를 들으며 작품을 감상하다 보면 생과 사에 대한 생각까지 이어진다. 배미꾸미조각공원은 주변 환경도 특별하다. 공원 앞마당이 갯벌이고, 천장은 푸른 하늘이다. 가끔 바다 위로 비행기도 날아다닌다. 바쁜 일상을 잠시 접어두고 예술의 섬으로 떠나야 하는 이유다."
35,"강화도 하면 떠오르는 특산물은 어떤 것이 있을까? 화문석, 속노랑 고구마, 약쑥 등이 있겠다. 가을이 깊어가는 요즘 또 하나의 특산물이 외지인들을 반긴다. 보랏빛이 감도는 순무다. 무라는 이름을 가지고 있지만 생김새나 맛은 비슷하면서도 생소하다. 배추의 염색체를 가진 순무, 유독 강화도에서만 제 맛이 난다는 순무의 독특한 매력에 빠져보자."
36,          전체 이동 경로     황매산군립공원 → 자동차 24분 17km → 합천영상테마파크 → 자동차 43분 40km → 대장경테마파크 → 자동차 9분 5.8km → 해인사 
