번호,내용
17,"""삶이 마감될 때까지 여행은 계속된다.""는 좌우명을 가진 40대 후반의 세종(가명) 씨. 그는 여름 휴가지를 제주도로 정했다. 제주도가 처음은 아니다. 그럼에도 망설이지 않고 제주도를 선택한 건 새로운 여행을 할 수 있을 거란 기대 때문이다. 세종 씨의 마음을 사로잡은 건 '제주환상 자전거길'이라 불리는 해안일주도로다. "
18,"세계적으로 유명한 건축가의 건축물들이 제주에도 많다는 사실 알고 계셨나요? 흔한 제주 여행 코스에 질렸다면, 색다른 여행 건축 기행은 어떨까요? 위로 보나 아래로 보나 멋진 건축물과 또 그와 조화롭게 어우러지는 제주의 풍경을 느끼는 여행. 제주도 필수 인생샷 건축물 5곳 방주교회, 본태박물관, 성이시돌목장, 유민미술관, 글라스하우스로 떠나는 색다른 제주 여행 지금 함께 떠나볼까요?"
19,         ● 너븐숭이 4.3 기념관    
20,서귀포 중심부에 위치한 아트스테이 서귀포 하버는 제주 올레길과 제주 환상자전거 코스에서 매우 가까워 자전거족과 뚜벅이족이 머물기에 좋은 숙소다. 인근에 버스정류장이 있어 서귀포를 방문하는 일반 관광객들 또한 접근하기 좋다. 제주국제공항에서 출발 시 600번 버스를 이용하면 환승 없이 한 번에 아트스테이까지 갈 수 있다. 숙소 내 승용차 기준 최대 98대까지 수용 가능한 넓은 주차시설을 보유하고 있어 자가용 이용 시에도 큰 문제가 없다.
21,"제주는 별 보기 좋은 여행지다. 넘치는 불빛에 별을 만나기 힘든 도시와 달리, 조금만 움직여도 캄캄한 공간이 나타나 별이 반짝이는 밤하늘을 마주할 수 있다. 가로등도 많지 않고 조용하다. 어둠이 내려앉은 초저녁, 밤하늘이 맑다면 별을 보러 떠나야 한다. 수많은 별이 밤하늘을 장식하는 동화 같은 장면을 만날 수 있을 테니까. 제주의 푸른 밤을 즐기기에 이보다 좋을 수 없다."
22,
23,
24,"제주의 겨울은 배신의 계절이다. 많은 이들이 포근하고 따스한 날씨를 기대하며 여행을 떠나오지만 막상 섬에 발을 들이는 순간 무언가 잘못됐다고 느낀다. 그렇다. 제주의 겨울은 생각보다 무척 춥다. 시시때때로 몰아치는 매서운 겨울바람은 여행자들의 마음까지 차갑게 만든다. 배신당한 여행자들을 따스하게 위로해주는 제주의 겨울 풍경과 특별한 체험, 맛있는 계절 디저트를 즐기기 좋은 카페 2곳을 소개한다."
25,"서귀포(西歸浦). 누군가가 '서쪽으로 돌아간 포구'라는 뜻이겠는데 호기심과 상상력을 자극하는 이름이다. 서귀포는 늘 같이 다니는 단어가 있다. 바로 '칠십리'라는 말인데 서귀포와 붙여서 '서귀포 칠십리'로 많이 쓴다. 식당에도 호텔에도 꽃집에도 주유소에도 온통 칠십리라는 이름이 붙었다. 서귀포를 북에서 남으로 흐르는 냇물에 연외천과 동홍천이 있다. 연외천은 천지연폭포가 되고 동홍천은 정방폭포가 되어 바다로 들어가는데, 이 두 냇물 사이에 있는 문화자원을 이어서 길을 냈다. 걸음마다 그림과 시와 글씨를 만나게 되는 길, 작가의 산책길이다. "
26,"여행 중 먹는 즐거움을 결코 빼놓을 수 없다. 우리 선조들은 ‘금강산도 식후경’이라는 말을 남겼고, 요즘에는 ‘먹방 투어’라는 신조어가 생겼을 정도로 여행에서 먹는 것이 차지하는 비중이 꽤 크다. 제주 여행이라고 예외일까. 아름다운 해안도로와 아늑한 숲속 마을을 품은 제주 서부 지역, 그곳에 숨은 맛집을 찾아 떠나보자."
27,"춘화경명의 계절에 찾아가는 제주도는 별미로 화답한다. 푸르른 오름을 산책한 후 특미로 나에게 상을 내려야겠는데 흑돼지를 먹을까, 말고기에 도전할까? 각재기국에 어랭이물회는 또 뭐지? 후식으로 용과도 있으니 하나하나 맛을 보자."
28,"제주는 별 보기 좋은 여행지다. 넘치는 불빛에 별을 만나기 힘든 도시와 달리, 조금만 움직여도 캄캄한 공간이 나타나 별이 반짝이는 밤하늘을 마주할 수 있다. 가로등도 많지 않고 조용하다. 어둠이 내려앉은 초저녁, 밤하늘이 맑다면 별을 보러 떠나야 한다. 수많은 별이 밤하늘을 장식하는 동화 같은 장면을 만날 수 있을 테니까. 제주의 푸른 밤을 즐기기에 이보다 좋을 수 없다."
29,
30,
31,"제주의 겨울은 배신의 계절이다. 많은 이들이 포근하고 따스한 날씨를 기대하며 여행을 떠나오지만 막상 섬에 발을 들이는 순간 무언가 잘못됐다고 느낀다. 그렇다. 제주의 겨울은 생각보다 무척 춥다. 시시때때로 몰아치는 매서운 겨울바람은 여행자들의 마음까지 차갑게 만든다. 배신당한 여행자들을 따스하게 위로해주는 제주의 겨울 풍경과 특별한 체험, 맛있는 계절 디저트를 즐기기 좋은 카페 2곳을 소개한다."
32,"서귀포(西歸浦). 누군가가 '서쪽으로 돌아간 포구'라는 뜻이겠는데 호기심과 상상력을 자극하는 이름이다. 서귀포는 늘 같이 다니는 단어가 있다. 바로 '칠십리'라는 말인데 서귀포와 붙여서 '서귀포 칠십리'로 많이 쓴다. 식당에도 호텔에도 꽃집에도 주유소에도 온통 칠십리라는 이름이 붙었다. 서귀포를 북에서 남으로 흐르는 냇물에 연외천과 동홍천이 있다. 연외천은 천지연폭포가 되고 동홍천은 정방폭포가 되어 바다로 들어가는데, 이 두 냇물 사이에 있는 문화자원을 이어서 길을 냈다. 걸음마다 그림과 시와 글씨를 만나게 되는 길, 작가의 산책길이다. "
33,"여행 중 먹는 즐거움을 결코 빼놓을 수 없다. 우리 선조들은 ‘금강산도 식후경’이라는 말을 남겼고, 요즘에는 ‘먹방 투어’라는 신조어가 생겼을 정도로 여행에서 먹는 것이 차지하는 비중이 꽤 크다. 제주 여행이라고 예외일까. 아름다운 해안도로와 아늑한 숲속 마을을 품은 제주 서부 지역, 그곳에 숨은 맛집을 찾아 떠나보자."
34,"춘화경명의 계절에 찾아가는 제주도는 별미로 화답한다. 푸르른 오름을 산책한 후 특미로 나에게 상을 내려야겠는데 흑돼지를 먹을까, 말고기에 도전할까? 각재기국에 어랭이물회는 또 뭐지? 후식으로 용과도 있으니 하나하나 맛을 보자."
